PERSON ONE,PERSON TWO,CITY
,,
زين الدين أبو الحسن علي بن إبراهيم بن نجا,عبد الْوَاحِد بن مُحَمَّد بن عَليّ بن أَحْمد الشِّيرَازِيّ أبي الفرج,Shirazi was grandfather of Ibn Naja. Shirazi spread Hanbali school in Syria. Recognized as one of the great scholars of the age
عبد الْوَاحِد بن مُحَمَّد بن عَليّ بن أَحْمد الشِّيرَازِيّ أبي الفرج,محمد بن الحسين بن محمد بن خلف بن أحمد بن الفراء,Shirazi was a student in Baghdad. Studied Hanbali fiqh
عبد الْوَاحِد بن مُحَمَّد بن عَليّ بن أَحْمد الشِّيرَازِيّ أبي الفرج,شرف الإسلام عبد الوهاب بن أبي الفرج الحنبلي,Father of Sharaf al Islam
زين الدين أبو الحسن علي بن إبراهيم بن نجا,شرف الإسلام عبد الوهاب بن أبي الفرج الحنبلي,Nephew of Sharaf
شرف الإسلام عبد الوهاب بن أبي الفرج الحنبلي,"وَجِيْهُ الدِّيْنِ أَبُو المَعَالِي أَسَعْدُ بنُ المُنَجَّى بنِ أَبِي المُنَجَّى بَرَكَاتِ بنِ المُؤَمَّلِ التَّنُوْخِيُّ،",Studied fiqh under Sharaf al Islam
شرف الإسلام عبد الوهاب بن أبي الفرج الحنبلي,عثمان بن مرزوق بن حميد بن سلام القرشي,Ibn Marzuq studied under Sharaf al-Din
عبد القادر الجيلاني,عثمان بن مرزوق بن حميد بن سلام القرشي,Uthman became disciple
عثمان بن مرزوق بن حميد بن سلام القرشي,سعد بن عثمان بن مرزوق بن حميد بن سلام القرشي,"Son of Uthman, he left Cairo and settled in Baghdad where he lived in the ribat of Abd al Qadir"
عثمان بن مرزوق بن حميد بن سلام القرشي,أبو طاهر السلفي,Met in Fustat
عثمان بن مرزوق بن حميد بن سلام القرشي,أسد الدين شيركوه,shirkuh was told that he would not conquer Egypt this time. Shirkuh asked about Jerusalem and was told that he would not conquer it himself but it would fall to a relative of his (Al Maqrizi)
عثمان بن مرزوق بن حميد بن سلام القرشي,أبو مدين شعيب بن الحسين الأنصاري,Ibn Rajab (Tabaqat) writes that Ibn Marzuq clais he made pilgrimage with Abu Madyan
عثمان بن مرزوق بن حميد بن سلام القرشي,القاضي الفاضل,Al-Fadil met with Marzuq in Egypt
زين الدين أبو الحسن علي بن إبراهيم بن نجا,عبد القادر الجيلاني,Ibn Naja was disciple of Jilani
زين الدين أبو الحسن علي بن إبراهيم بن نجا,عثمان بن مرزوق بن حميد بن سلام القرشي,Ibn Naja visited ibn Marzuq in Egypt
زين الدين أبو الحسن علي بن إبراهيم بن نجا,أسد الدين شيركوه بن شاذي,Ibn Naja carried message from Jilani 
زين الدين أبو الحسن علي بن إبراهيم بن نجا,نور الدين محمود زنكي,Ibn Naja carried message from Jilani 
زين الدين أبو الحسن علي بن إبراهيم بن نجا,صلاح الدين,Ibn Naja met Saladin in Egypt. Became close confidant
زين الدين أبو الحسن علي بن إبراهيم بن نجا,سعد الْخَيْر بن مُحَمَّد بن سهل بن سعد أَبُي الْحسن الْأنْصَارِيّ,Ibn Naja was student of Sa'd al-Khayr
زين الدين أبو الحسن علي بن إبراهيم بن نجا,فَاطِمَةُ بِنْتُ أَبِي الحَسَنِ سَعْدُ الخَيْرِ,"Ibn Naja married fatima, daughter of Sa'd al-Khayr"
زين الدين أبو الحسن علي بن إبراهيم بن نجا,أبو طاهر السلفي,read Hadith with him in Alexandria
زين الدين أبو الحسن علي بن إبراهيم بن نجا,نجم الدين ابو البركات محمد ابن الوفق الخبوشاني,sibt al- jawzi writes of the enmity between ibn Naja and Khabushani (Hanbali/Shafii?)
زين الدين أبو الحسن علي بن إبراهيم بن نجا,طلائع ﺑﻦ ﺭﺯﻳﻚ,"Ibn Naja greeted by the vizier who gave him 20,000 dinars (maybe to build relations with Nur al-Din) al-Maqrizi"
زين الدين أبو الحسن علي بن إبراهيم بن نجا,عمارة اليمني,Ibn Naja revealed plot by Umara against Saladin
زين الدين أبو الحسن علي بن إبراهيم بن نجا,محي الدين بن زكي الدين,Ibn Naja gave oratory after Zaki sermon in Jerusalem
زين الدين أبو الحسن علي بن إبراهيم بن نجا,العاضد لدين الله أبو محمد عبد الله بن يوسف بن الحافظ لدين الله,Ibn Naja received favours from Caliph
زين الدين أبو الحسن علي بن إبراهيم بن نجا,ابو الجود عبد الغني الانصاري  راضي الدين,studied under ibn Naja
زين الدين أبو الحسن علي بن إبراهيم بن نجا,رضي الدين عبد الغني ابن علي ابن عبد الوهاب الانصاري ,studied with Ibn Naja
عبد القادر الجيلاني,"وَجِيْهُ الدِّيْنِ أَبُو المَعَالِي أَسَعْدُ بنُ المُنَجَّى بنِ أَبِي المُنَجَّى بَرَكَاتِ بنِ المُؤَمَّلِ التَّنُوْخِيُّ، المَعَرِّيُّ",studied with jilani in Baghdad
نور الدين محمود زنكي,"وَجِيْهُ الدِّيْنِ أَبُو المَعَالِي أَسَعْدُ بنُ المُنَجَّى بنِ أَبِي المُنَجَّى بَرَكَاتِ بنِ المُؤَمَّلِ التَّنُوْخِيُّ، المَعَرِّيُّ",Nur al-Din appointed him chief judge in Harran
,,
,,
,,
,,
,,
,,
ابو بكر محمد بن الوليد الطرطوشي‎‎,سليمان بن خلف بن سعد بن أيوب بن وارث الباجي,Turtushi studied under him Maliki fiqh in Zaragossa
ابو بكر محمد بن الوليد الطرطوشي‎‎,أبو محمد علي بن احمد بن سعيد بن حزم,Ibn al-Khalikan writes that Turtushi studied with Ibn Hazm in Seville. Unlikely as he was around 5 when Ibn Hazm died.
أبو طاهر السلفي,ابو بكر محمد بن الوليد الطرطوشي‎‎,Silafi knew Tartushi as he refers to him but no stronger link
ابو بكر محمد بن الوليد الطرطوشي‎‎,ٱلْغَزَّالِيُّ,"Ghazali came to Alexandria and the two met. Turtushi was not pleased with some of Ghazali's writings. Al-Subkl, Tabaqat, Vi/242"
ابو بكر محمد بن الوليد الطرطوشي‎‎,أَبُو مُحَمَّدٍ عَبْدُ اللهِ بنُ يُوْسُفَ الجُرْجَانِيُّ, 
ابو بكر محمد بن الوليد الطرطوشي‎‎,الأفضل شاهنشاه بن بدر الجمالي‎,al-Afdal summoned Tartushi to Cairo
ابو بكر محمد بن الوليد الطرطوشي‎‎,المأمون البطائحي‎,"Tartushi gave copy of Siraj to the new vizier. seems they were on good terms Ibn Khallikan, Wafayat, IV/263"
ابو بكر محمد بن الوليد الطرطوشي‎‎,المكين ابن الحديد,Chief Qadi of alexandria convinced Turtushi to settle in Alexandria (490). According to al-Silafi al-Hadid was a Maliki
ابو بكر محمد بن الوليد الطرطوشي‎‎,wife,Turtushi married a wealthy woman who set him up with first madrasa in Egypt
ابو بكر محمد بن الوليد الطرطوشي‎‎,ابو بكر الشاشي,taught al-Turtushi
ابو بكر محمد بن الوليد الطرطوشي‎‎,نظام الملك,"In his book Siraj al-muluk, he praises the vizir whome he met in Baghdad"
ابو بكر محمد بن الوليد الطرطوشي‎‎,أبو بكرمحمد ابن احمد القفال الشاشي,Studied Shafi fiqh under him in Baghdad
ابو بكر محمد بن الوليد الطرطوشي‎‎,أبو سعد بن أبي سعيد المتولي النيسابوري,Studied Shafi fiqh under him in Baghdad. Head of the Nizamiyya
ابو بكر محمد بن الوليد الطرطوشي‎‎,ابو محمد الجرجاني,Studied Shafi fiqh under him in Baghdad
ابو بكر محمد بن الوليد الطرطوشي‎‎,ابو عبد الله الدامغاني,read hadith with Hanafi scholar in Baghdad
ابو بكر محمد بن الوليد الطرطوشي‎‎,المكين ابن الحديد احمد ابن عبد المجيد,Governer of Alexandria welcomed Turtushi and convinced him to remain in the city 490. Turtushi later criticised heavy taxation and men fell out
ابو بكر محمد بن الوليد الطرطوشي‎‎,ابو ابو بكر محمد بن الوليد الطرطوشي ‎‎wife ,Aunt of Ibn Awf (Ibn Farhum)
ابو بكر محمد بن الوليد الطرطوشي‎‎,"أبو الطاهر بن عوف إسماعيل بن مكى الزهري	‎‎",Ibn Awf was foster son of Turtushi
ابو بكر محمد بن الوليد الطرطوشي‎‎,الأفضل أبو القاسم شاهنشاه بن بدر الدين الجمالي,Vizier summoned Turtushi from Alexandria. 
ابو بكر محمد بن الوليد الطرطوشي‎‎,المأمون البطائحي,Turtushi presented cpy of his work Siraj to the vizier
أبو طاهر السلفي,المكين ابن الحديد احمد ابن عبد المجيد,The two knew each other in Alexandria. 
المكين ابن الحديد,ابو علي ابن الحديد,brothers
أبو طاهر السلفي,ابو علي ابن الحديد,knew each other in Alexandria
القاضي الفاضل,ابو علي ابن الحديد,al-Fadil worked with Makin's brother in Alexandria while Abu Ali was Governor
القاضي الفاضل,المكين ابن الحديد احمد ابن عبد المجيد,al-Fadil worked with him in the Diwan of the Post. Wrote poetry lampooning  him as he was rival of al-Khallal
,,
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,رضوان بن ولخشي‎,Ridwan the vizier establishes Maliki madrasa in Alexandria. Ibn Awf first professor 532. 
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو بكر محمد بن الوليد الطرطوشي‎‎(wife),Aunt of Ibn Awf (Ibn Farhum)
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو بكر محمد بن الوليد الطرطوشي‎‎,Ibn Awf was foster son of Turtushi
أبو الطاهر بن عوف إسماعيل بن مكى الزهري nephew,صلاح الدين,supported Saladin and Shirkuh during siege of Alexandria (al Maqrizi)
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,عماد الدين الاصفهابي,Accompanied Saladin to listen to reading of Muwatta with commentary of Turtushi read by Ibn Awf
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,الملك العزيز عماد الدين أبو الفتح عثمان بن صلاح الدين,Saladin's son attended lessons with Ibn Awf
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,الملك الظاهر غياث الدين غازي بن الناصر صلاح الدين,Saladin's son attended lessons with Ibn Awf
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,أبو الحسن علي بن صلاح الدين الملك الأفضل,Saladin's son attended lessons with Ibn Awf
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,القاضي الفاضل,Attended lessons
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,الملك العادل سيف الدين أبو بكر بن أيوب‎,Saladin's brother came to Alexandria to study with Ibn Awf
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,الملك المظفر تقي الدين عمر بن الأمير نور الدولة شاهنشاه,Taqi ul-Din attended lessons
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,الملك المنصور محمد ,Taqi ul-Din's son. Would have been very young but al-Dhahabi mentions it
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,أبو الفتح يوسف بن أبو يوسف يعقوب بن محمد بن علي ابن المجاور,studied with ibn Awf then became secretary of Saladin's son al-Aziz
أبو الفتح يوسف بن أبو يوسف يعقوب بن محمد بن علي ابن المجاور,الملك العزيز عماد الدين أبو الفتح عثمان بن صلاح الدين,Secretary of al-Aziz
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,الصاحب صافي  الدين عبد الله ابن علي الشبيبي ابن شكر,studied with ibn Awf 
الصاحب صافي  الدين عبد الله ابن علي الشبيبي ابن شكر,الملك العادل سيف الدين أبو بكر بن أيوب‎,vizier of Saladin's brother al-Adil. Ibn Shukr was a Maliki scholar who studied with Ibn Awf and built a madrasa (d.1225) al Mundhiri
الصاحب صافي  الدين عبد الله ابن علي الشبيبي ابن شكر,الملك الكامل ناصر الدين محمد بن العادل سيف الدين أحم,vizier of al-Kamil son of al-Adil
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو القاسم حمزة ابن ابي الحسن القرشي المخزومي,studied in Alexandria under Ibn Awf
صلاح الدين,ابو القاسم حمزة ابن ابي الحسن القرشي المخزومي,Secretary of the Waqfs
الملك العادل سيف الدين أبو بكر بن أيوب‎,ابو القاسم حمزة ابن ابي الحسن القرشي المخزومي,Minister under al-Adil
الملك الظاهر غياث الدين غازي بن الناصر صلاح الدين,ابو القاسم حمزة ابن ابي الحسن القرشي المخزومي,Served under Saladin's son
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,وجيه الدين ابو عبد الله محمد ابن يحي الانصاري,Studied under Ibn Awf
الملك الظاهر غياث الدين غازي بن الناصر صلاح الدين,وجيه الدين ابو عبد الله محمد ابن يحي الانصاري,Served under Saladin's son
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو طالب تغان ابن محمود ابن ابي الفتوح,Studied under Ibn Awf and Qadi of Gaza
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,القاضي المكين احمد احمد ابن عبد الله ابن الحسين ابن المجيد,Studied under Ibn Awf
المكين ابن الحديد,القاضي المكين احمد احمد ابن عبد الله ابن الحسين ابن المجيد,Great Grandson of al-Makin
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو الحسن علي ابن المفضل,studied under Ibn Awf (al Mundhiri)
صدر الدين عبد الملك بن عيسى بن درباس الماراني,ابو الحسن علي ابن المفضل,worked as chief witness to Chief Judge of Egypt (d.611)
الملك العزيز عماد الدين أبو الفتح عثمان بن صلاح الدين,ابو الحسن علي ابن المفضل,deputy Governor of Alexandria under al-Aziz
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو الحسن بهاء الدين علي ابن هبة الله اللخمي الجميزي,"studied with Ibn Awf. Leading scholar of his time in Egypt, known as the musnad of Egypt. D. 649"
عبد الله ابن ابي عصرون,ابو الحسن بهاء الدين علي ابن هبة الله اللخمي الجميزي,"studied fiqh with Ibn Abi Asrun (Abu Shama, al-Dhahabi)"
"شهاب الدين  أبو الفتح ، محمد بن محمود بن محمد  الطوسي",ابو الحسن بهاء الدين علي ابن هبة الله اللخمي الجميزي,Read fiqh with al-Tusi
أبو القاسم علي بن الحسن بن هبة الله بن عساكر الدمشقي,ابو الحسن بهاء الدين علي ابن هبة الله اللخمي الجميزي,Read Hadith with Ibn Asakir
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو محمد عبد الوهاب النبيه,son of Ibn Awf (d. 22 Dhu'l Qida 596) al-Dhahahbi
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو الحرم مكي,son of Ibn Awf
ابو بكر محمد بن الوليد الطرطوشي‎‎,ابو الحرم مكي,Had ijaza from Turtushi
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,زينب بنت ابن عوف ام احمد,daughter of Ibn awaf and hadith scholar and teacher
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو الحسن المفضل,"maliki, studied with Ibn Awf. Appointed by Saladin as aide to Ibn Dirbas, the chief Qadi of Egypt. Died 1214. Al-Mundhiri"
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ست النعم,she wrote poems to Ibn Awf
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,وجيه الدين ابو عبد الله محمد ابن يحي الانصاري,studied under Ibn Awf (al Maqrizi) d. 633
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو طالب بارز ابن محمود ابن ابي الفتوح,studied under Ibn Awf
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,احمد ابن عبد الله ابن الحسين ابن عبد المجيد,studied under Ibn Awf. became qadi of Alexandria D. 619
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,عبد الله ابن ابراهيم ابن سعيد ابن القاءد,student of Ibn Awf
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,"أَبُو الفَتْحِ، عِمَادُ الدِّيْنِ، عثمان ابْنِ صَلاَحِ الدِّيْنِ يُوْسُفَ بنِ أَيُّوْبَ",Studied under Ibn Awf
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,عبد الرحمن ابن علي,studied in Alexandria under Ibn Awf
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,أبو طاهر السلفي,"Ibn Awf led funeral prayer for al-Silafi 5 Rabi II, 576"
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,رضي الدين عبد الغني ابن علي ابن عبد الوهاب الانصري ,studied with Ibn Awf.
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو الفتح نصر بن محمد مقلد الشيرازي المرتضى,studied under him 
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو الفتح نصر بن محمد مقلد الشيرازي المرتضى,studied under him 
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو الحسن علي ابن ابي المكارم المفضل المقدسي ,studied under him
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,ابو عبد الله الرازي,Read hadith in Alexandria
أبو الطاهر بن عوف إسماعيل بن مكى الزهري,عبد الله ابن القاضي المخلص ابن شكر,Vizier studied under Ibn Awf
,,
أبو طاهر السلفي,سيف الدين أبو الحسن علي بن السلار الكردي,Fatimid Vizier built madrasa for Silafi
أبو طاهر السلفي,ابو عبد الله القاسم ابن الفضل الثقفي,Studied hadith from him in Isfahan
أبو طاهر السلفي,ابو بكر الشاشي,Studied fiqh in Baghdad under him
أبو طاهر السلفي,أبو القاسم علي بن الحسن بن هبة الله بن عساكر الدمشقي,Ibn Asakir in Damascus. Was about 10 years old
أبو طاهر السلفي,ابو عبد الله الرازي,Read hadith in Alexandria
أبو طاهر السلفي,ابو بكر محمد بن الوليد الطرطوشي‎‎,Silafi knew Tartushi as he refers to him but no stronger link
أبو طاهر السلفي,ست الاهل,wife of al-Silafi
أبو طاهر السلفي,عثمان بن مرزوق بن حميد بن سلام القرشي,met during Silafi's stay in cairo
أبو طاهر السلفي,المأمون البطائحي,on Good terms with the Vizier
أبو طاهر السلفي,ابو الاشبال ضرغم ابن عامر ابن سوار اللخمي,Dirgham and Silafi corresponded with each other in verse
أبو طاهر السلفي,تريفه بنت احمد ابن انراهيم الرازي,Silafi mother in law. learned hadith from her
أبو طاهر السلفي,صلاح الدين,men met during siege of Alexandria
أبو طاهر السلفي,الملك العزيز عماد الدين أبو الفتح عثمان بن صلاح الدين,accompanied there father to study with silafi
أبو طاهر السلفي,أبو الحسن علي بن صلاح الدين الملك الأفضل,accompanied there father to study with silafi
أبو طاهر السلفي,عماد الدين الاصفهابي,accompanied Saladin to study with Silafi
أبو طاهر السلفي,الملك العادل سيف الدين أبو بكر بن أيوب‎,studied with Silafi
أبو طاهر السلفي,الملك المظفر تقي الدين عمر بن الأمير نور الدولة شاهنشاه,Saladin nephew studied with him
أبو طاهر السلفي,الملك المنصور محمد ,Taqi ul Din son accompanied his father
أبو طاهر السلفي,القاضي الفاضل,studied with Silafi
أبو طاهر السلفي,عبد الله ابن القاضي المخلص ابن شكر,Vizier studied under Silafi
أبو طاهر السلفي,ابم القاسم حمزة ابن ابي الحسن القرشي المخزومي,Studied under Silafi
أبو طاهر السلفي,وجيه الدين ابو عبد الله محمد ابن يحي الانصاري,Studied under Silafi
أبو طاهر السلفي,ابو علي ابن الحديد,knew Silafi in Alexandria. brother of al makin
أبو طاهر السلفي,المكين ابن الحديد احمد ابن عبد المجيد,The two knew each other in Alexandria. 
أبو طاهر السلفي,"أَبُو مُحَمَّدٍ عَبْدُ الرَّحْمَنِ بنُ أَحْمَدَ بنِ عَلِيّ بنِ صَابِرٍ السُّلَمِيّ الدِّمَشْقِيّ، المَعْرُوفُ بِابْنِ سَيِّده",silafi studied with him in Damascus (d.511)
أبو طاهر السلفي,"أَبُو مُحَمَّدٍ هِبَةُ اللهِ بنُ أَحْمَدَ بنِ مُحَمَّدِ بنِ هِبَة اللهِ بن عَلِيِّ بنِ فارس الأنصاري الدِّمَشْقِيّ المُعَدَّل، المَعْرُوف بِابْنِ الأَكْفَانِ",d.524. silafi studied under him
أبو طاهر السلفي,الحسن بن الحسن بن علي بن عبد الباقي الانصاري: الامام أبو المجد المعروف بابن النحاس,studied in Alexandria with al-Silafi
أبو طاهر السلفي,ابو محمد القاسم ابن فروح الروعيني الشاطبي,studied under silafi
أبو طاهر السلفي,ابو الحسن علي ابن ابي المكارم المفضل المقدسي ,studied under Silafi
أبو طاهر السلفي,ابو القاسم محمود ابن محمد ابن الحسين القزويني,studied under Silafi became professor in cairo
أبو طاهر السلفي,ابو الفتح نصر بن محمد مقلد الشيرازي المرتضى,studied under him 
أبو طاهر السلفي,رضي الدين عبد الغني ابن علي ابن عبد الوهاب الانصري ,studied with al-Silafi
أبو طاهر السلفي,"أحمد بن علي بن إبراهيم بن علي بن الزبير، الملقب بالرشيد",studied under al-Silafi
أبو طاهر السلفي,حسن الاسواني,brother of al-Rashid ibn Zubayr
أبو طاهر السلفي,تاج الدين ابو عبدالله الحموي,Studied under al-Silafi
أبو طاهر السلفي,الشاور,
أبو طاهر السلفي,ابو قاسم البيساني,"al-Qadi al-Fadil's brother, d. 1224. read hadith (al-Mundhiri)"
أبو طاهر السلفي, الشهرازوري ابو الفضائل,Al-Qasim Yahya - nephew of kamal al-Din Shahrazuri. came with saladin to Egypt from Damascus. became chief qadi of Damascus d. 1203 (ibn Khalikkan) (al-Dhahabi)
أبو طاهر السلفي,ابو الحسن علي العادل ابن السلار,Built madrasa for him. Sallar was Sunni Shafi'i Kurd vizier of Egypt madrasa built 546/1151
أبو طاهر السلفي ,خديجة,daughter of Silafi and Sitt al-Ahl . renowned hadith scholar
أبو طاهر السلفي ,ست النعم,Silafi's student. Born in Damascus and moved to Alexandria. wrote poetry to Taqi ul-Din S's nephew.
أبو طاهر السلفي,احمد ابن عبد الله ابن الحسين ابن عبد المجيد,Studied under Silafi
أبو طاهر السلفي,ابو المكرم اسعد ابن المماتي,Studied under Silafi. 
أبو طاهر السلفي,ابو محمد عبد الجبار ابن يوسف المقدسي,Studied under Silafi. 
أبو طاهر السلفي,ابو الطاهر اسماعيل,Studied under Silafi. 
أبو طاهر السلفي,"أَبُو الفَتْحِ، عِمَادُ الدِّيْنِ، عثمان ابْنِ صَلاَحِ الدِّيْنِ يُوْسُفَ بنِ أَيُّوْبَ",Studied under Silafi. 
أبو طاهر السلفي,تاج الدين ابو الحسن يحي ابن منصور ابن الجراح,student of Silafi
أبو طاهر السلفي,ابو محمد عبد ابن الحسن ابن عبد السلام القاضي المرتضة ابن الطوير,student of Silafi
أبو طاهر السلفي,ابو عبد الله محمد ابن الحسن العمري ابن القطان,student of Silafi
أبو طاهر السلفي,ابو المجد الاسكندراني  كمال الدين,studied hadith under Silafi
أبو طاهر السلفي,ابو عبد الله محمد ابن الحسين السجستاني,studied hadith under Silafi
أبو طاهر السلفي,ضياء الدين ابو محمد عيسي الهكاري,studied hadith under Silafi
أبو طاهر السلفي,ناصر الدين ابن طي ابن شاور,read hadith with Silafi
أبو طاهر السلفي,شيش ابن ابراهيم ابن الحاج ابن القفطي,read hadith with Silafi
أبو طاهر السلفي,ابو القاسم عبد الكريم ابن علي ابن الحسن البيساني,studied with Silafi
أبو طاهر السلفي,ابو محمد عبد الله ابن تبي حاج ابن سعيد الهلالي,studied with Silafi
